review,analysis,k,early_effect,final_effect,decay_ratio,direction_change,trajectory_cv,max_cumulative_shift,studies_per_year,span_years,mafi_score,mafi_class,I2,estimate_re,significant,fpi_k_component,fpi_bias_component,fpi_stability_component,fpi_decay_component,fpi_score,fpi_class
CD001155_pub3_data.rds,1::overall,175,0.67515,-0.305683,0.452763,True,0.4515,1.185233,7.954545,22.0,0.0563,Robust,25.96,-0.316167,True,1.0,0.9437,0.7742,0.7264,87.48,Stable
CD001155_pub3_data.rds,2::overall,478,-0.242148,-0.078284,0.32329,False,0.2536,0.028438,22.761905,21.0,0.0374,Robust,17.91,-0.090695,True,1.0,0.9626,0.8732,0.6616,89.13,Stable
CD001155_pub3_data.rds,3::overall,75,-0.70968,-0.320931,0.45222,False,0.39,0.12904,3.26087,23.0,,,,,,0.9999,0.5,0.805,0.7261,77.14,Stable
CD001155_pub3_data.rds,4::overall,70,-0.031253,-0.160661,5.140733,False,0.7918,0.594314,3.043478,23.0,0.0721,Robust,34.4,-0.258903,True,0.9997,0.9279,0.6041,0,68.29,Moderate
CD001155_pub3_data.rds,5::overall,32,0.032261,-0.647115,20.058826,True,0.4275,0.993832,1.684211,19.0,0.0042,Robust,0.0,-0.631574,True,0.9276,0.9958,0.7863,0,72.38,Stable
CD001155_pub3_data.rds,6::overall,35,-0.248785,0.017997,0.07234,True,2.2003,0.148267,1.521739,23.0,0.0249,Robust,0.0,-0.017522,False,0.9526,0.9751,0,0.5362,63.68,Moderate
CD001155_pub3_data.rds,7::overall,18,-0.103161,-0.052198,0.505989,False,3.9185,0.103355,0.782609,23.0,0.0059,Robust,0.0,-0.043822,False,0.6106,0.9941,0,0.753,58.23,Moderate
CD001155_pub3_data.rds,8::overall,19,0.057938,0.009775,0.16872,False,0.61,0.030616,1.0,19.0,0.0014,Robust,0.0,0.020478,False,0.6457,0.9986,0.695,0.5844,73.4,Stable
CD001155_pub3_data.rds,9::overall,9,0.084867,0.062398,0.735241,False,20.166,0.171684,0.5,18.0,0.2416,Low Fragility,0.0,-0.009416,False,0.2891,0.7584,0,0.8676,44.98,Volatile
CD001321_pub7_data.rds,1::overall,103,-1.196351,-0.343611,0.287215,False,0.6186,0.150522,5.421053,19.0,0.1148,Robust,55.79,-0.448045,True,1.0,0.8852,0.6907,0.6436,82.27,Stable
CD001321_pub7_data.rds,2::overall,30,-0.857707,-0.364206,0.424627,False,0.8727,0.529092,1.578947,19.0,0.1274,Robust,60.52,-0.427314,True,0.9047,0.8726,0.5636,0.7123,77.29,Stable
CD001321_pub7_data.rds,3::overall,8,-0.130427,-0.030277,0.232133,False,1.0075,0.151988,0.296296,27.0,0.3242,Moderate Fragility,11.78,-0.035319,False,0.2592,0.6758,0.4962,0.6161,49.4,Volatile
CD001321_pub7_data.rds,5::overall,10,0.212131,0.314399,1.482097,False,0.4812,0.21295,0.526316,19.0,0.2178,Low Fragility,2.76,0.33428,False,0.3208,0.7822,0.7594,0.759,63.34,Moderate
CD001396_pub4_data.rds,10::overall,16,0.671685,0.99425,1.480232,False,0.1501,0.25985,0.8,20.0,0.0696,Robust,0.0,0.99425,True,0.5374,0.9304,0.9249,0.7599,77.7,Stable
CD001396_pub4_data.rds,11::overall,13,0.192194,1.186649,6.174217,False,0.2718,0.983813,0.928571,14.0,0.1207,Robust,0.0,1.186649,True,0.4256,0.8793,0.8641,0,56.35,Moderate
CD001396_pub4_data.rds,12::overall,19,0.259663,0.721878,2.780057,False,0.247,0.227256,0.95,20.0,0.0271,Robust,0.0,0.721878,True,0.6457,0.9729,0.8765,0.11,67.8,Moderate
CD001396_pub4_data.rds,13::overall,10,1.210438,0.872399,0.72073,False,0.1657,0.248746,0.555556,18.0,0.2806,Low Fragility,0.0,0.872399,True,0.3208,0.7194,0.9172,0.8604,67.75,Moderate
CD001396_pub4_data.rds,14::overall,26,0.693513,0.232957,0.335909,False,0.3944,0.166001,1.3,20.0,0.0796,Robust,6.74,0.234224,False,0.8389,0.9204,0.8028,0.668,81.61,Stable
CD001396_pub4_data.rds,15::overall,8,-0.052088,-0.333554,6.403674,False,0.4059,0.156941,0.444444,18.0,0.1875,Low Fragility,0.0,-0.333554,False,0.2592,0.8125,0.7971,0,48.01,Volatile
CD001396_pub4_data.rds,16::overall,7,-0.376914,-0.199729,0.529906,False,0.2418,0.099614,0.35,20.0,0.2932,Low Fragility,0.0,-0.199729,False,0.2315,0.7068,0.8791,0.765,61.89,Moderate
CD001396_pub4_data.rds,18::overall,7,0.022477,-0.179512,7.98642,True,0.8943,0.124903,0.388889,18.0,0.235,Low Fragility,0.0,-0.179512,False,0.2315,0.765,0.5529,0,39.89,Volatile
CD001396_pub4_data.rds,19::overall,30,1.471223,0.84568,0.574814,False,0.2473,0.232798,1.25,24.0,0.0098,Robust,2.62,0.849725,True,0.9047,0.9902,0.8763,0.7874,89.55,Stable
CD001396_pub4_data.rds,1::overall,49,-0.621997,-0.331326,0.53268,False,0.8942,0.499362,1.96,25.0,0.0201,Robust,0.0,-0.331326,False,0.9939,0.9799,0.5529,0.7663,83.47,Stable
CD001396_pub4_data.rds,20::overall,18,0.016987,-0.044848,2.640082,True,9.9006,0.109677,0.62069,29.0,0.0613,Robust,0.0,-0.044848,False,0.6106,0.9387,0,0.18,45.39,Volatile
CD001396_pub4_data.rds,2::overall,56,1.75651,0.949104,0.540335,False,0.165,0.755609,2.333333,24.0,0.0278,Robust,11.21,0.979288,True,0.9979,0.9722,0.9175,0.7702,92.58,Stable
CD001396_pub4_data.rds,3::overall,29,0.300185,0.688758,2.294444,False,0.1666,0.515356,1.0,29.0,0.0102,Robust,0.0,0.688758,True,0.8909,0.9898,0.9167,0.3528,81.45,Stable
CD001396_pub4_data.rds,4::overall,23,1.076329,0.840376,0.78078,False,0.1208,0.283843,1.352941,17.0,0.0097,Robust,0.0,0.840377,True,0.7685,0.9903,0.9396,0.8904,89.11,Stable
CD001396_pub4_data.rds,5::overall,14,1.120519,0.417546,0.372636,False,0.3332,0.492352,0.583333,24.0,0.1861,Low Fragility,0.0,0.417546,True,0.4626,0.8139,0.8334,0.6863,68.79,Moderate
CD001396_pub4_data.rds,6::overall,21,1.710808,0.673085,0.393431,False,0.338,0.248609,1.05,20.0,0.0073,Robust,0.0,0.673085,True,0.7109,0.9927,0.831,0.6967,80.85,Stable
CD001396_pub4_data.rds,7::overall,8,1.566706,1.682567,1.073952,False,0.0354,0.105339,0.8,10.0,0.2112,Low Fragility,0.0,1.682567,True,0.2592,0.7888,0.9823,0.963,71.31,Stable
CD001396_pub4_data.rds,8::overall,14,1.819369,1.181796,0.649564,False,0.1035,0.414352,0.7,20.0,,,,,,0.4626,0.5,0.9483,0.8248,66.58,Moderate
CD001396_pub4_data.rds,9::overall,16,0.665337,0.776206,1.166636,False,0.1454,0.329712,0.666667,24.0,,,,,,0.5374,0.5,0.9273,0.9167,70.14,Stable
CD001431_pub6_data.rds,1::overall,437,0.606875,0.240284,0.395936,False,0.3103,0.557018,17.48,25.0,0.1422,Robust,70.13,0.087807,False,1.0,0.8578,0.8448,0.698,86.52,Stable
CD001431_pub6_data.rds,2::overall,377,-0.281807,0.139441,0.494811,True,0.5196,0.226693,14.5,26.0,0.1688,Low Fragility,83.26,0.201017,True,1.0,0.8312,0.7402,0.7474,84.23,Stable
CD001431_pub6_data.rds,3::overall,353,0.193066,0.498807,2.583602,False,0.3066,1.222146,14.12,25.0,0.1453,Robust,70.94,0.194401,True,1.0,0.8547,0.8467,0.2082,76.7,Stable
CD001431_pub6_data.rds,4::overall,136,-0.189935,0.366164,1.927836,True,0.5471,0.264105,5.44,25.0,0.1579,Low Fragility,76.68,0.309055,True,1.0,0.8421,0.7265,0.5361,79.94,Stable
CD001431_pub6_data.rds,5::overall,116,-0.330222,0.038436,0.116395,True,8.6857,0.168664,4.461538,26.0,0.1586,Low Fragility,74.3,0.111184,False,1.0,0.8414,0,0.5582,62.2,Moderate
CD001431_pub6_data.rds,6::overall,60,-0.003377,0.276397,81.84613,True,0.4526,0.215223,2.727273,22.0,0.0198,Robust,0.0,0.276397,False,0.9988,0.9802,0.7737,0,73.81,Stable
CD001533_pub7_data.rds,1::overall,43,-1.169547,-0.327308,0.279859,False,0.3773,0.446573,0.977273,44.0,0.1257,Robust,57.1,-0.498206,True,0.9852,0.8743,0.8114,0.6399,84.5,Stable
CD001533_pub7_data.rds,2::overall,47,0.412659,-0.543377,1.31677,True,0.4191,0.538014,1.093023,43.0,0.1272,Robust,59.85,-0.607554,True,0.9918,0.8728,0.7904,0.8416,88.17,Stable
CD001533_pub7_data.rds,3::overall,30,-0.042602,-0.238577,5.600182,False,0.3792,0.266066,0.681818,44.0,0.235,Low Fragility,38.93,-0.292177,True,0.9047,0.765,0.8104,0,66.52,Moderate
CD001533_pub7_data.rds,4::overall,27,-1.273596,-0.683575,0.536728,False,0.2009,0.279331,0.771429,35.0,0.1419,Robust,65.63,-0.812619,True,0.8581,0.8581,0.8995,0.7684,85.05,Stable
CD001533_pub7_data.rds,5::overall,68,-0.57598,-0.128268,0.222695,False,1.1949,0.905316,2.0,34.0,0.053,Robust,24.09,-0.143704,False,0.9996,0.947,0.4025,0.6113,75.96,Stable
CD001552_pub3_data.rds,10::overall,6,-2.292303,-1.558547,0.679904,False,0.1962,0.742461,0.113208,53.0,0.5452,High Fragility,66.59,-1.851504,False,0.2059,0.4548,0.9019,0.84,56.89,Moderate
CD001552_pub3_data.rds,1::overall,10,0.310797,0.273151,0.878872,False,0.2759,0.234636,0.555556,18.0,0.492,Moderate Fragility,80.17,-0.147931,False,0.3208,0.508,0.862,0.9394,62.67,Moderate
CD001552_pub3_data.rds,2::overall,13,1.960478,0.770468,0.393,False,0.2952,0.70768,0.232143,56.0,0.3637,Moderate Fragility,55.03,1.029285,True,0.4256,0.6363,0.8524,0.6965,63.91,Moderate
CD001552_pub3_data.rds,3::overall,11,0.267958,-0.010621,0.039636,True,0.8013,0.208681,0.611111,18.0,0.1964,Low Fragility,0.0,-0.010621,False,0.3543,0.8036,0.5994,0.5198,56.1,Moderate
CD001552_pub3_data.rds,4::overall,8,0.264395,0.186983,0.707211,False,0.2257,0.11149,0.5,16.0,0.1911,Low Fragility,0.0,0.186983,False,0.2592,0.8089,0.8871,0.8536,67.25,Moderate
CD001552_pub3_data.rds,5::overall,8,0.326012,0.224725,0.689315,False,0.2037,0.095924,0.533333,15.0,0.2403,Low Fragility,0.0,0.224725,False,0.2592,0.7597,0.8982,0.8447,66.12,Moderate
CD001552_pub3_data.rds,6::overall,8,0.312217,-0.759783,2.433508,True,1.2434,1.547713,0.5,16.0,0.4321,Moderate Fragility,25.79,-0.610883,False,0.2592,0.5679,0.3783,0.2832,37.1,Volatile
CD001703_pub4_data.rds,13::overall,6,-0.853036,-0.424571,0.497718,False,0.2675,0.216575,0.857143,7.0,0.229,Low Fragility,0.0,-0.424571,False,0.2059,0.771,0.8662,0.7489,62.08,Moderate
CD001703_pub4_data.rds,1::overall,8,-0.47445,-0.075901,0.159977,False,0.4192,0.269577,0.181818,44.0,0.3454,Moderate Fragility,0.0,-0.075901,False,0.2592,0.6546,0.7904,0.58,55.5,Moderate
CD001703_pub4_data.rds,25::overall,18,-0.996599,0.433867,0.435348,True,0.9552,1.636256,0.818182,22.0,0.0372,Robust,0.0,0.43387,True,0.6106,0.9628,0.5224,0.7177,69.8,Moderate
CD001703_pub4_data.rds,26::overall,10,-0.260988,0.27698,1.061276,True,2.1715,0.361488,0.333333,30.0,0.2121,Low Fragility,0.0,0.27698,False,0.3208,0.7879,0,0.9694,48.71,Volatile
CD001703_pub4_data.rds,27::overall,22,1.10224,0.925333,0.839503,False,0.162,0.607223,0.5,44.0,0.0152,Robust,0.0,0.925333,True,0.7408,0.9848,0.919,0.9198,88.21,Stable
CD001703_pub4_data.rds,2::overall,16,0.187061,-0.141586,0.756899,True,4.44,0.115794,0.533333,30.0,0.0692,Robust,0.0,-0.141586,False,0.5374,0.9308,0,0.8784,56.96,Moderate
CD001703_pub4_data.rds,4::overall,6,-0.831127,-0.405456,0.487839,False,0.2766,0.224468,0.857143,7.0,0.227,Low Fragility,0.0,-0.405456,False,0.2059,0.773,0.8617,0.7439,61.92,Moderate
CD001797_pub4_data.rds,1::overall,8,0.517686,1.217793,2.352378,False,0.2676,0.868048,0.421053,19.0,0.2879,Low Fragility,32.34,1.109985,True,0.2592,0.7121,0.8662,0.3238,53.71,Moderate
CD001797_pub4_data.rds,4::overall,7,-0.09005,-0.13019,1.445752,False,0.1587,0.057574,0.368421,19.0,0.1997,Low Fragility,0.0,-0.13019,False,0.2315,0.8003,0.9206,0.7771,65.51,Moderate
CD001837_pub4_data.rds,1::overall,110,0.797535,0.284204,0.356352,False,0.3176,0.081463,3.4375,32.0,0.1001,Robust,48.9,0.355156,True,1.0,0.8999,0.8412,0.6782,87.09,Stable
CD001837_pub4_data.rds,2::overall,20,0.228355,0.239165,1.047339,False,0.3377,0.248964,0.645161,31.0,0.0235,Robust,0.01,0.239162,True,0.6792,0.9765,0.8312,0.9763,85.09,Stable
CD001837_pub4_data.rds,3::overall,7,0.196772,0.335917,1.70714,False,0.2228,0.184825,0.636364,11.0,0.37,Moderate Fragility,5.53,0.329617,True,0.2315,0.63,0.8886,0.6464,57.84,Moderate
CD001837_pub4_data.rds,4::overall,7,0.534481,0.248697,0.465305,False,0.3165,0.182026,0.7,10.0,0.232,Low Fragility,0.0,0.248697,True,0.2315,0.768,0.8417,0.7327,61.84,Moderate
CD001909_pub4_data.rds,1::overall,51,1.096352,0.628484,0.57325,False,0.2386,0.389666,2.428571,21.0,0.0781,Robust,35.8,0.707229,True,0.9955,0.9219,0.8807,0.7866,90.66,Stable
CD001909_pub4_data.rds,2::overall,25,0.63403,0.226102,0.356611,False,0.2998,0.44053,1.190476,21.0,0.1416,Robust,50.5,0.388873,True,0.8176,0.8584,0.8501,0.6783,80.81,Stable
CD001909_pub4_data.rds,3::overall,24,1.05175,0.898699,0.85448,False,0.271,0.72427,1.142857,21.0,0.1551,Low Fragility,70.31,0.709033,True,0.7941,0.8449,0.8645,0.9272,85.1,Stable
CD001909_pub4_data.rds,4::overall,12,-0.000463,0.668293,1442.687804,True,0.3641,0.577875,0.666667,18.0,0.1401,Robust,0.0,0.668293,True,0.3894,0.8599,0.8179,0,53.63,Moderate
CD001909_pub4_data.rds,5::overall,13,0.332463,0.372786,1.121287,False,1.5994,0.691253,0.619048,21.0,0.2256,Low Fragility,0.0,0.372786,True,0.4256,0.7744,0.2003,0.9394,55.92,Moderate
CD001920_pub4_data.rds,10::overall,16,0.090038,0.039451,0.438155,False,0.4858,0.055445,0.571429,28.0,0.0633,Robust,0.0,0.039451,False,0.5374,0.9367,0.7571,0.7191,72.85,Stable
CD001920_pub4_data.rds,1::overall,215,-0.237555,-0.04291,0.180633,False,0.7616,0.060005,7.166667,30.0,0.0006,Robust,0.0,-0.042121,False,1.0,0.9994,0.6192,0.5903,82.27,Stable
CD001920_pub4_data.rds,2::overall,273,-0.165387,-0.061214,0.370123,False,0.272,0.041538,9.1,30.0,0.0005,Robust,0.0,-0.05989,False,1.0,0.9995,0.864,0.6851,90.29,Stable
CD001920_pub4_data.rds,3::overall,205,-0.227866,-0.047917,0.210284,False,0.4167,0.057552,6.833333,30.0,0.0007,Robust,0.0,-0.04745,False,1.0,0.9993,0.7916,0.6051,86.88,Stable
CD001920_pub4_data.rds,4::overall,242,-0.142418,-0.046878,0.329156,False,0.5054,0.044861,8.066667,30.0,0.0006,Robust,0.0,-0.04649,False,1.0,0.9994,0.7473,0.6646,86.96,Stable
CD001920_pub4_data.rds,5::overall,140,-0.104027,-0.219155,2.106715,False,0.7149,0.121056,4.7,30.0,,,,,,1.0,0.5,0.6425,0.4466,67.5,Moderate
CD001920_pub4_data.rds,6::overall,166,-0.175298,0.145572,0.830427,True,1.914,0.125091,5.533333,30.0,0.0053,Robust,0.0,0.144147,False,1.0,0.9947,0.043,0.9152,74.25,Stable
CD001920_pub4_data.rds,7::overall,123,0.016492,-0.048684,2.951978,True,0.3692,0.057578,4.1,30.0,0.0011,Robust,0.0,-0.048287,False,1.0,0.9989,0.8154,0.024,75.84,Stable
CD001920_pub4_data.rds,8::overall,15,0.151027,0.128257,0.849231,False,0.4672,0.060956,0.555556,27.0,0.0813,Robust,0.0,0.128257,False,0.5,0.9187,0.7664,0.9246,75.62,Stable
CD001920_pub4_data.rds,9::overall,12,0.067866,0.028985,0.427088,False,0.3615,0.020458,0.444444,27.0,0.158,Low Fragility,0.0,0.028985,False,0.3894,0.842,0.8193,0.7135,67.48,Moderate
CD002042_pub6_data.rds,10::1.0,20,-0.12866,0.067789,0.526887,True,3.5878,0.076827,1.428571,14.0,0.0413,Robust,18.67,0.027714,False,0.6792,0.9587,0,0.7634,59.61,Moderate
CD002042_pub6_data.rds,10::2.0,13,-0.16286,-0.270346,1.659984,False,0.1867,0.113646,0.40625,32.0,0.0413,Robust,18.67,0.027714,False,0.4256,0.9587,0.9066,0.67,72.8,Stable
CD002042_pub6_data.rds,11::1.0,27,-0.265847,0.014522,0.054627,True,0.6702,0.071031,1.038462,26.0,0.072,Robust,33.26,0.065462,False,0.8581,0.928,0.6649,0.5273,76.11,Stable
CD002042_pub6_data.rds,12::nan,25,-0.110412,0.038864,0.351993,True,0.7701,0.156198,0.675676,37.0,0.033,Robust,13.61,0.047893,False,0.8176,0.967,0.6149,0.676,77.6,Stable
CD002042_pub6_data.rds,13::nan,15,-0.78005,-0.173293,0.222156,False,0.4768,0.439168,0.441176,34.0,0.1138,Robust,0.0,-0.142062,False,0.5,0.8862,0.7616,0.6111,68.42,Moderate
CD002042_pub6_data.rds,14::nan,8,-0.060203,0.115227,1.913976,True,1.1751,0.070318,0.615385,13.0,0.2521,Low Fragility,25.06,0.164718,False,0.2592,0.7479,0.4124,0.543,47.65,Volatile
CD002042_pub6_data.rds,15::1.0,6,-0.286163,0.031421,0.109802,True,1.1563,0.202203,0.6,10.0,0.0018,Robust,0.0,0.032627,False,0.2059,0.9982,0.4218,0.5549,52.78,Moderate
CD002042_pub6_data.rds,15::3.0,8,-0.203447,0.04218,0.207327,True,1.0666,0.103436,0.8,10.0,0.0018,Robust,0.0,0.032627,False,0.2592,0.9982,0.4667,0.6037,56.47,Moderate
CD002042_pub6_data.rds,17::nan,27,-1.25946,0.095984,0.076211,True,4.2459,0.497045,0.870968,31.0,0.0104,Robust,0.7,0.108515,False,0.8581,0.9896,0,0.5381,61.25,Moderate
CD002042_pub6_data.rds,18::nan,17,-0.545098,-0.111615,0.204761,False,0.5961,0.369463,0.548387,31.0,0.0689,Robust,30.36,-0.05612,False,0.5744,0.9311,0.702,0.6024,70.11,Stable
CD002042_pub6_data.rds,19::nan,22,0.192661,-0.101659,0.527659,True,1.0871,0.240743,0.709677,31.0,0.0105,Robust,0.68,0.102422,False,0.7408,0.9895,0.4565,0.7638,73.65,Stable
CD002042_pub6_data.rds,1::nan,44,-3.440183,-1.483304,0.43117,False,0.3234,1.685836,0.656716,67.0,0.2066,Low Fragility,97.26,-2.467076,True,0.9873,0.7934,0.8383,0.7156,84.72,Stable
CD002042_pub6_data.rds,20::nan,27,0.042715,0.041483,0.971176,False,3.2177,0.108278,1.08,25.0,0.0027,Robust,0.01,0.033923,False,0.8581,0.9973,0,0.9856,70.39,Stable
CD002042_pub6_data.rds,21::nan,17,-0.025574,-0.025869,1.011523,False,0.3908,0.077633,0.68,25.0,0.0041,Robust,0.0,-0.025623,False,0.5744,0.9959,0.8046,0.9942,82.13,Stable
CD002042_pub6_data.rds,22::nan,13,0.241158,0.076138,0.31572,False,0.5844,0.204706,0.541667,24.0,0.0216,Robust,0.0,0.07602,False,0.4256,0.9784,0.7078,0.6579,68.08,Moderate
CD002042_pub6_data.rds,23::nan,7,0.414484,0.108418,0.261573,False,0.5567,0.387392,0.35,20.0,0.1492,Robust,16.75,0.137285,False,0.2315,0.8508,0.7217,0.6308,58.87,Moderate
CD002042_pub6_data.rds,24::nan,8,-0.318457,-0.045714,0.143547,False,0.5525,0.14957,0.333333,24.0,0.1611,Low Fragility,0.0,-0.026326,False,0.2592,0.8389,0.7238,0.5718,58.28,Moderate
CD002042_pub6_data.rds,26::nan,11,-0.466207,-0.02574,0.055211,False,0.8474,0.348433,1.1,10.0,0.1935,Low Fragility,15.9,-0.210386,False,0.3543,0.8065,0.5763,0.5276,55.75,Moderate
CD002042_pub6_data.rds,27::nan,15,-0.347336,-0.284101,0.817944,False,0.1553,0.09381,0.6,25.0,0.012,Robust,0.0,-0.120864,False,0.5,0.988,0.9224,0.909,80.94,Stable
CD002042_pub6_data.rds,28::nan,11,-0.026807,-0.058963,2.199556,False,0.6671,0.332874,0.297297,37.0,0.2199,Low Fragility,25.66,-0.099841,False,0.3543,0.7801,0.6664,0.4002,54.8,Moderate
CD002042_pub6_data.rds,2::1.0,9,-0.692866,-1.066453,1.539192,False,0.2316,0.556097,0.346154,26.0,0.2062,Low Fragility,97.29,-2.54752,True,0.2891,0.7938,0.8842,0.7304,65.23,Moderate
